model linking_length pyfof_grp N clump_mass[Msol] com_x[kpc] com_y[kpc] com_z[kpc] max_r[kpc] clump_r_avg[kpc] r[kpc] avg_temp[K] avg_pressure[Pa] avg_nHden[cm^-3] vdist[km/s] entropy[K/(Msolkpc**3)**(2/3)]
GM2noBHs 1.00 0 3 644061.26 -9.49 -4.18 -12.03 0.71 0.59 15.88 53026.50 31788850.88 0.0000002101 15.90 2566035997246977472462848.00
GM2noBHs 1.00 1 2 448702.21 -8.12 -10.17 -10.22 0.32 0.30 16.55 24722.47 18323633.11 0.0000025156 15.77 1028973800446494903369728.00
GM2noBHs 1.00 2 2 424168.26 -11.22 -3.96 -11.25 0.40 0.40 16.37 53893.56 31391401.20 0.0000001862 3.35 2671387344060999301857280.00
GM2noBHs 1.00 3 3 636252.38 15.00 -5.89 0.28 0.56 0.50 16.12 13500.19 27572986.84 0.0001092988 6.31 286174524776342299344896.00
GM2noBHs 1.00 4 4 742558.15 -6.15 -11.81 -7.45 0.82 0.68 15.26 16627.27 14801554.13 0.0000064759 17.03 614311957052216462802944.00
GM2noBHs 1.00 5 2 424168.26 -10.80 -10.93 -4.69 0.38 0.38 16.07 58618.41 46329087.93 0.0000002105 16.23 2358104119759513180962816.00
GM2noBHs 1.00 6 34 7210860.35 13.50 -6.97 3.83 3.28 1.93 15.67 13062.64 33544459.88 0.0002675508 13.65 242956134556572521070592.00
GM2noBHs 1.00 7 2 424168.26 14.46 -8.05 -0.20 0.37 0.37 16.55 19688.81 20648324.51 0.0000089936 13.95 654507423826481835409408.00
GM2noBHs 1.00 8 2 424168.26 13.78 -6.58 -4.54 0.41 0.41 15.93 31317.54 13442512.56 0.0000004901 9.14 1885093106992827431124992.00
GM2noBHs 1.00 9 3 574770.04 -12.58 1.98 -8.48 0.81 0.64 15.30 63623.27 25158367.43 0.0000000641 13.68 4075611610194704800415744.00
GM2noBHs 1.00 10 2 369889.13 -12.39 -7.44 -7.82 0.56 0.49 16.43 42022.86 29260296.76 0.0000007048 24.11 1829099771861140227751936.00
GM2noBHs 1.00 11 2 424168.26 -13.21 -5.38 -7.75 0.22 0.22 16.24 57552.79 34773109.71 0.0000001532 5.46 2774444302441391954329600.00
GM2noBHs 1.00 12 2 424168.26 12.03 -8.31 -5.72 0.38 0.38 15.70 41602.56 23160665.93 0.0000004063 11.25 2104686351025785152733184.00
GM2noBHs 1.00 13 2 434344.71 9.26 -11.91 -2.34 0.45 0.45 15.26 23910.24 14151099.06 0.0000014620 24.39 1151398707513052381577216.00
GM2noBHs 1.00 14 2 305251.06 13.39 1.16 -7.14 0.54 0.38 15.22 45541.24 15687219.30 0.0000001679 16.98 3160697050769708789268480.00
GM2noBHs 1.00 15 2 424168.26 11.72 -3.51 -9.18 0.46 0.46 15.29 44964.60 30328435.49 0.0000004779 21.22 2007948689967785770483712.00
GM2noBHs 1.00 16 6 1229773.95 10.53 -7.74 -9.55 1.34 0.80 16.18 24036.68 15160410.85 0.0000020351 14.13 1124080921762297439846400.00
GM2noBHs 1.00 17 2 424168.26 3.27 -15.73 0.88 0.47 0.47 16.09 80183.91 67637271.32 0.0000000756 12.66 3182826459670234187956224.00
GM2noBHs 1.00 18 3 459878.19 1.36 -13.23 -8.20 0.60 0.53 15.62 20261.45 21265601.05 0.0000103408 24.07 678326313737531452030976.00
GM2noBHs 1.00 19 2 424168.26 -0.23 -15.26 -3.90 0.44 0.44 15.76 51342.32 58348017.91 0.0000056334 21.50 1634613010570378712449024.00
GM2noBHs 1.00 20 3 617105.61 -0.00 -15.80 -2.62 0.67 0.44 16.02 25897.33 26434165.59 0.0000085493 5.99 876430023393605779980288.00
GM2noBHs 1.00 21 2 429562.44 1.16 -15.23 -5.69 0.35 0.34 16.30 47192.71 36144705.72 0.0000005124 28.59 1933482543182892433932288.00
GM2noBHs 1.00 22 3 636252.38 -0.18 3.27 -15.26 0.83 0.66 15.61 14337.85 32463219.20 0.0001439984 20.09 283774845676769599553536.00
GM2noBHs 1.00 23 2 424168.26 -5.06 -15.47 -0.77 0.26 0.26 16.29 57503.09 30700697.79 0.0000001268 22.03 2998423399605743709585408.00
GM2noBHs 1.00 24 2 424834.08 2.32 -11.91 -9.37 0.43 0.43 15.33 13918.61 17674625.73 0.0000213963 9.49 405036393725354311680000.00
GM2noBHs 1.00 25 2 424168.26 -1.43 0.90 -15.05 0.49 0.49 15.15 13855.59 36096287.48 0.0002154667 17.96 247957805728928806993920.00
GM2noBHs 1.00 26 4 745218.58 0.67 -10.52 -12.04 0.69 0.57 16.00 16566.97 17762196.58 0.0000107503 11.63 537516767533806823407616.00
GM2noBHs 1.00 27 3 526002.87 1.45 -7.90 -14.14 0.80 0.63 16.26 19415.62 12867327.43 0.0000025202 18.32 871431647588785835737088.00
