model linking_length pyfof_grp N clump_mass[Msol] com_x[kpc] com_y[kpc] com_z[kpc] max_r[kpc] clump_r_avg[kpc] r[kpc] avg_temp[K] avg_pressure[Pa] avg_nHden[cm^-3] vdist[km/s] entropy[K/(Msolkpc**3)**(2/3)]
GM3SI1 1.00 0 2 426376.51 -183.60 -79.02 -65.66 0.17 0.17 210.39 24797.78 1398000.88 0.0000000889 3.82 5882159248243686786465792.00
GM3SI1 1.00 1 3 649352.24 -125.57 -85.09 -34.66 0.51 0.39 155.60 21369.27 2549452.69 0.0000004857 3.17 3047578945293627806449664.00
GM3SI1 1.00 2 3 620929.01 -125.74 -86.96 -35.76 0.64 0.41 157.01 20577.89 3017956.72 0.0000007785 4.17 2555628110719511351525376.00
GM3SI1 1.00 3 2 424280.61 -162.21 -72.77 -32.32 0.47 0.47 180.70 18418.36 3758730.04 0.0000016868 8.80 1841835267164162997878784.00
GM3SI1 1.00 4 3 636342.08 -157.07 -70.18 -28.84 0.57 0.45 174.43 21218.37 2320493.90 0.0000004035 5.17 3229363039178084960960512.00
GM3SI1 1.00 5 2 427973.40 -158.30 -71.96 -31.34 0.33 0.33 176.69 19715.69 2997696.47 0.0000008533 10.54 2400443523887049669083136.00
GM3SI1 1.00 6 2 424352.26 -158.70 -69.57 -33.31 0.47 0.47 176.45 19343.65 2732552.33 0.0000007662 5.27 2497948480904669746429952.00
GM3SI1 1.00 7 2 424340.75 -158.93 -70.74 -35.18 0.08 0.08 177.48 21474.64 2490624.64 0.0000004472 1.67 3140071470687563267702784.00
GM3SI1 1.00 8 5 1060634.79 -171.14 -71.06 -30.97 1.06 0.61 187.87 17645.88 3666077.14 0.0000017994 6.92 1740007480784490818699264.00
GM3SI1 1.00 9 2 424273.70 -162.86 -72.83 -33.45 0.43 0.43 181.51 19055.83 3541547.54 0.0000013231 7.45 2025720256760184794251264.00
GM3SI1 1.00 10 2 438169.73 -132.81 -76.55 -26.16 0.43 0.42 155.51 19898.40 3143155.05 0.0000009243 1.74 2356568950222485362573312.00
GM3SI1 1.00 11 2 426758.71 -134.16 -75.82 -26.08 0.36 0.36 156.29 19061.47 3425676.83 0.0000012496 2.69 2067135815957290504159232.00
GM3SI1 1.00 12 2 424339.19 -176.08 -70.74 -40.89 0.35 0.35 194.11 19878.54 3423458.26 0.0000010913 7.06 2225851855554232495112192.00
GM3SI1 1.00 13 6 1272510.13 -179.30 -72.34 -38.81 1.24 0.62 197.20 17064.20 4941805.80 0.0000038512 4.50 1344552598081205763571712.00
GM3SI1 1.00 14 3 636276.30 -171.17 -80.80 -28.80 0.70 0.54 191.46 18703.19 2763050.02 0.0000008368 1.36 2322054691303953054826496.00
GM3SI1 1.00 15 2 424168.60 -196.24 -75.67 -16.53 0.33 0.33 210.97 24053.19 1978303.71 0.0000001973 2.90 4438866717504426024632320.00
GM3SI1 1.00 16 3 636266.35 -172.09 -80.83 -8.85 0.36 0.31 190.33 20223.70 2622439.78 0.0000005952 4.87 2742594271063499046125568.00
GM3SI1 1.00 17 2 424168.30 -161.58 -78.00 24.38 0.34 0.34 181.07 27537.09 1491992.30 0.0000000727 3.12 6720831488272481852063744.00
GM3SI1 1.00 18 2 424172.41 -167.66 -83.26 6.03 0.46 0.46 187.30 23466.17 1850950.88 0.0000001857 3.20 4449776579519332166402048.00
GM3SI1 1.00 19 2 424217.50 -173.62 -84.53 -25.31 0.31 0.31 194.75 27888.94 1810589.89 0.0000001025 0.61 6030528857909406854021120.00
GM3SI1 1.00 20 2 424183.27 -176.06 -74.51 -4.70 0.22 0.22 191.24 22055.37 2550207.35 0.0000004396 7.15 3239105547292420859756544.00
GM3SI1 1.00 21 2 425049.83 -183.75 -82.13 -22.58 0.26 0.26 202.53 27362.53 2033060.44 0.0000001366 0.78 5404830489140649728671744.00
GM3SI1 1.00 22 2 435294.61 -177.21 -77.95 5.52 0.29 0.28 193.67 24658.93 1606579.17 0.0000001199 2.76 5316874643586024455798784.00
GM3SI1 1.00 23 2 426233.63 -203.12 -69.96 -8.79 0.25 0.25 215.01 22526.21 2270049.47 0.0000003219 0.89 3623337127370278735708160.00
GM3SI1 1.00 24 2 424178.82 -187.51 -75.55 -22.04 0.46 0.46 203.36 26021.79 2954383.65 0.0000003363 7.42 3862794720399756829392896.00
GM3SI1 1.00 25 3 636252.51 -182.28 -76.62 -40.12 0.59 0.40 201.75 17534.35 4241046.28 0.0000025260 2.24 1559487004040810733764608.00
GM3SI1 1.00 26 2 424175.88 -188.88 -78.67 -30.19 0.42 0.42 206.82 20327.72 3216055.45 0.0000009047 4.33 2414360254359536907845632.00
GM3SI1 1.00 27 2 431460.73 -186.67 -71.34 -40.78 0.43 0.42 203.96 24370.24 2416795.36 0.0000002836 8.43 3959589207840432859381760.00
GM3SI1 1.00 28 7 1480463.41 -117.33 -64.71 -35.93 1.17 0.74 138.73 24186.31 2764181.69 0.0000003917 5.13 3557192348259347070976000.00
GM3SI1 1.00 29 2 446973.64 -126.46 -57.41 -38.26 0.50 0.50 144.06 24463.38 2455683.04 0.0000003001 2.35 3940976615341404859662336.00
GM3SI1 1.00 30 3 636454.79 -168.02 -60.79 -29.26 0.66 0.47 181.06 22750.36 2879690.50 0.0000005069 11.51 3136895560741425426464768.00
GM3SI1 1.00 31 2 435874.65 -143.20 -59.50 -45.58 0.41 0.40 161.63 37825.45 2445660.23 0.0000000571 5.30 8174625262441307234631680.00
GM3SI1 1.00 32 3 597733.75 -142.61 -64.12 -49.66 0.16 0.12 164.06 19505.38 3068690.77 0.0000009319 0.68 2309265671032861534191616.00
GM3SI1 1.00 33 3 640733.84 -130.68 -60.23 -46.09 0.40 0.30 151.10 31792.30 4201983.07 0.0000003599 3.17 4242201630020464357146624.00
GM3SI1 1.00 34 2 479019.08 -152.60 -62.70 -55.00 0.28 0.25 173.90 24688.31 2799800.51 0.0000003718 0.64 3647488497332306898321408.00
GM3SI1 1.00 35 2 444759.12 -149.21 -68.01 -61.13 0.44 0.44 175.01 21623.03 3652554.44 0.0000009776 2.21 2443985120154490817740800.00
GM3SI1 1.00 36 2 424221.46 -164.31 -58.49 -28.99 0.40 0.40 176.81 21773.68 3189717.86 0.0000007156 4.02 2720367902244353309933568.00
GM3SI1 1.00 37 5 947040.44 -175.33 -60.56 -23.04 1.18 0.70 186.92 26751.79 2709655.84 0.0000003295 9.61 4340322223561070281228288.00
GM3SI1 1.00 38 3 538223.33 -202.85 -56.87 -26.80 0.83 0.47 212.37 31664.69 3720108.77 0.0000003731 6.91 4600102481574107912601600.00
GM3SI1 1.00 39 2 442233.88 -202.36 -58.27 -27.51 0.38 0.37 212.37 22628.29 3019269.80 0.0000005758 1.26 3014359739189634785083392.00
GM3SI1 1.00 40 3 636414.68 -174.67 -67.47 -25.47 0.66 0.50 188.97 22937.04 2181196.78 0.0000002792 6.12 3835123634845708462325760.00
GM3SI1 1.00 41 2 424307.74 -179.16 -64.22 -44.98 0.46 0.46 195.57 18608.57 2131415.81 0.0000005019 4.02 2745507848270089719644160.00
GM3SI1 1.00 42 2 637334.83 18.13 5.39 6.54 0.42 0.32 20.01 10768.93 34738308.00 0.0042732705 11.64 140420125228446987059200.00
GM3SI1 1.00 43 2 1069806.41 24.61 2.35 6.56 0.43 0.41 25.58 32410.95 70968963.62 0.0006686645 7.91 639472903560344352325632.00
GM3SI1 1.00 44 2 422819.49 17.01 3.00 4.41 0.28 0.28 17.83 32226.33 166723107.14 0.0033185674 6.33 353049387295953767104512.00
GM3SI1 1.00 45 2 425202.44 37.79 1.19 1.31 0.00 0.00 37.83 15274.99 12525933.51 0.0000520745 0.17 585805050670187236294656.00
GM3SI1 1.00 46 3 662053.67 23.78 2.72 2.49 0.16 0.10 24.06 11210.55 25856919.25 0.0015478135 1.59 198238656466251426037760.00
GM3SI1 1.00 47 2 436724.87 -174.41 -59.50 14.48 0.47 0.45 184.85 28840.04 2269930.75 0.0000001409 8.61 5476073266855242740269056.00
GM3SI1 1.00 48 2 424297.86 -170.10 -66.60 -36.66 0.38 0.38 186.32 21393.24 2342568.27 0.0000004093 1.56 3268402040394989678100480.00
