model linking_length pyfof_grp N clump_mass[Msol] com_x[kpc] com_y[kpc] com_z[kpc] max_r[kpc] clump_r_avg[kpc] r[kpc] avg_temp[K] avg_pressure[Pa] avg_nHden[cm^-3] vdist[km/s] entropy[K/(Msolkpc**3)**(2/3)]
GM3 1.00 0 2 424262.84 -114.52 -41.19 -66.77 0.39 0.39 138.81 34410.12 1486444.78 0.0000000466 1.33 9754943431786956660408320.00
GM3 1.00 1 6 1272803.91 -73.36 -37.49 -6.01 0.02 0.01 82.60 20894.73 4012030.40 0.0000019694 0.24 2160460356268536358764544.00
GM3 1.00 2 2 424210.46 -96.22 -39.75 -74.62 0.31 0.31 128.09 17673.46 3329218.62 0.0000022601 3.83 1853569927419189811740672.00
GM3 1.00 3 2 424184.81 -92.42 -40.04 -77.37 0.47 0.47 127.01 22099.17 3056992.16 0.0000009677 4.77 2870271254252933752029184.00
GM3 1.00 4 4 835389.22 -113.99 -40.86 -97.76 0.96 0.69 155.63 29049.15 1689050.74 0.0000001180 4.11 6727761038356922316619776.00
GM3 1.00 5 2 424185.39 -115.60 -57.82 -113.76 0.23 0.23 172.18 19435.64 1706013.43 0.0000004224 0.98 3416641121313636057350144.00
GM3 1.00 6 2 431992.83 -93.94 -41.12 -78.08 0.41 0.40 128.89 21305.92 2958295.26 0.0000009971 3.46 2755111411227810653536256.00
GM3 1.00 7 3 668642.52 -94.75 -55.40 -118.34 0.52 0.36 161.41 22276.70 1788515.26 0.0000003131 4.15 4142327827890779459682304.00
GM3 1.00 8 2 366335.34 -135.23 -59.39 -88.06 0.07 0.06 171.96 27011.82 954234.47 0.0000000478 0.30 8732780540625625590792192.00
GM3 1.00 9 3 636291.17 -140.14 -43.24 -85.90 0.37 0.28 169.96 24262.56 1482659.98 0.0000001609 1.54 5450427494083825328193536.00
GM3 1.00 10 2 424186.31 -141.26 -43.36 -82.48 0.45 0.45 169.23 22465.18 1420051.22 0.0000001874 1.30 4932188403406738429050880.00
GM3 1.00 11 2 424197.08 -118.81 -54.58 -116.60 0.28 0.28 175.19 22274.68 1399267.02 0.0000001876 0.76 4909380532492275611074560.00
