model output time z halo Nclumps cold_cgm_mass[Msol] cold_clump_mass[Msol]
GM3noBHs 3840 12.94 0.06 1 920 4042275997.12 3380551177.27
GM3noBHs 3712 12.51 0.10 1 953 4914293690.74 4116375087.04
GM3noBHs 3584 12.08 0.13 1 235 786698512.93 536568065.79
GM3noBHs 3456 11.65 0.17 1 415 1353212603.59 914600202.06
GM3noBHs 3328 11.22 0.21 1 636 1983042925.26 1447213944.72
GM3noBHs 3200 10.79 0.25 1 654 1872542310.18 1472482822.11
GM3noBHs 3195 10.77 0.25 1 693 1849721627.37 1452347401.82
GM3noBHs 3072 10.35 0.29 1 741 2120860016.01 1717524691.84
GM3noBHs 2944 9.92 0.34 1 859 2037783533.10 1560949012.14
GM3noBHs 2816 9.49 0.39 1 860 2270663151.42 1658907557.57
GM3noBHs 2688 9.06 0.44 1 407 1033092060.83 609244793.14
GM3noBHs 2560 8.63 0.50 1 507 950166109.68 748872343.48
GM3noBHs 2554 8.61 0.50 1 507 954465596.77 768320510.01
GM3noBHs 2432 8.20 0.56 1 412 1137080000.51 1005333168.86
GM3noBHs 2304 7.77 0.62 1 507 1641756217.37 1495335492.22
GM3noBHs 2176 7.34 0.70 1 1019 2428434645.37 1666049767.75
GM3noBHs 2048 6.91 0.77 1 1057 3462840369.10 2663458113.71
GM3noBHs 1920 6.48 0.86 1 1282 3899318808.60 3332003346.68
GM3noBHs 1792 6.05 0.96 1 1356 5118933218.77 4233936212.05
GM3noBHs 1739 5.87 1.00 1 1488 6048687803.96 5183440183.33
GM3noBHs 1664 5.62 1.06 1 1562 6329848981.64 5624837214.89
GM3noBHs 1536 5.19 1.18 1 2738 10551353228.75 9480005726.31
GM3noBHs 1408 4.76 1.32 1 2019 9183065361.52 8251518398.52
GM3noBHs 1280 4.32 1.48 1 1401 6417632967.50 5870514139.22
GM3noBHs 1152 3.89 1.67 1 1106 4104025645.68 3656267279.41
GM3noBHs 1024 3.46 1.90 1 1617 4389445776.31 3650341199.49
