model type output z slope intercept
P0noBHs noBHs 0384 4.58 2.68 6.27
P0noBHs noBHs 1536 1.18 2.29 6.42
P0noBHs noBHs 3456 0.17 -1.00 -1.00
P0noBHs noBHs 3840 0.06 2.11 6.53
P0 CDM 0384 4.58 2.73 6.29
P0 CDM 1536 1.18 2.27 6.45
P0 CDM 3456 0.17 2.27 6.38
P0 CDM 3840 0.06 2.38 6.64
GM1 CDM 0384 4.58 2.54 6.36
GM1 CDM 1536 1.18 2.22 6.47
GM1 CDM 3456 0.17 1.80 6.49
GM1 CDM 3840 0.06 2.07 6.45
GM1noBHs noBHs 0384 4.58 1.71 6.42
GM1noBHs noBHs 1536 1.18 2.48 6.36
GM1noBHs noBHs 3456 0.17 2.05 6.29
GM1noBHs noBHs 3840 0.06 2.48 6.41
GM2 CDM 0384 4.58 2.65 6.29
GM2 CDM 1536 1.18 2.21 6.41
GM2 CDM 3456 0.17 2.48 6.39
GM2 CDM 3840 0.06 1.86 6.40
GM2noBHs noBHs 0384 4.58 2.90 6.23
GM2noBHs noBHs 1536 1.18 2.40 6.36
GM2noBHs noBHs 3456 0.17 2.39 6.46
GM2noBHs noBHs 3840 0.06 1.83 6.39
GM2SI1 SIDM 0384 4.58 2.09 6.32
GM2SI1 SIDM 1536 1.18 2.32 6.39
GM2SI1 SIDM 3456 0.17 2.34 6.48
GM2SI1 SIDM 3840 0.06 2.67 6.29
GM3 CDM 0384 4.58 -1.00 -1.00
GM3 CDM 1536 1.18 2.13 6.42
GM3 CDM 3456 0.17 0.50 6.30
GM3 CDM 3840 0.06 2.22 6.46
GM3noBHs noBHs 0384 4.58 2.60 6.29
GM3noBHs noBHs 1536 1.18 2.54 6.32
GM3noBHs noBHs 3456 0.17 3.73 6.23
GM3noBHs noBHs 3840 0.06 3.52 6.25
GM3SI1 SIDM 0384 4.58 3.69 6.37
GM3SI1 SIDM 1536 1.18 2.37 6.34
GM3SI1 SIDM 3456 0.17 3.55 6.52
GM3SI1 SIDM 3840 0.06 1.98 6.56
