model type output z slope intercept
P0noBHs noBHs 0384 4.58 0.77 1.20
P0noBHs noBHs 1536 1.18 0.39 1.21
P0noBHs noBHs 3456 0.17 -1.00 -1.00
P0noBHs noBHs 3840 0.06 0.52 1.10
P0 CDM 0384 4.58 0.69 1.17
P0 CDM 1536 1.18 0.50 1.25
P0 CDM 3456 0.17 0.39 1.33
P0 CDM 3840 0.06 0.58 1.08
GM1 CDM 0384 4.58 0.46 1.25
GM1 CDM 1536 1.18 0.28 1.28
GM1 CDM 3456 0.17 0.39 1.27
GM1 CDM 3840 0.06 0.27 1.00
GM1noBHs noBHs 0384 4.58 0.29 1.17
GM1noBHs noBHs 1536 1.18 0.37 1.27
GM1noBHs noBHs 3456 0.17 0.81 1.16
GM1noBHs noBHs 3840 0.06 0.51 1.11
GM2 CDM 0384 4.58 0.22 1.29
GM2 CDM 1536 1.18 0.38 1.24
GM2 CDM 3456 0.17 0.49 1.24
GM2 CDM 3840 0.06 0.77 0.87
GM2noBHs noBHs 0384 4.58 -0.09 1.25
GM2noBHs noBHs 1536 1.18 0.64 1.16
GM2noBHs noBHs 3456 0.17 0.32 1.32
GM2noBHs noBHs 3840 0.06 0.53 1.18
GM2SI1 SIDM 0384 4.58 0.45 1.30
GM2SI1 SIDM 1536 1.18 0.46 1.21
GM2SI1 SIDM 3456 0.17 0.55 1.27
GM2SI1 SIDM 3840 0.06 0.41 1.08
GM3 CDM 0384 4.58 -1.00 -1.00
GM3 CDM 1536 1.18 0.47 1.21
GM3 CDM 3456 0.17 0.22 0.97
GM3 CDM 3840 0.06 0.87 1.18
GM3noBHs noBHs 0384 4.58 0.16 1.26
GM3noBHs noBHs 1536 1.18 0.60 1.22
GM3noBHs noBHs 3456 0.17 0.43 1.34
GM3noBHs noBHs 3840 0.06 0.67 1.28
GM3SI1 SIDM 0384 4.58 0.38 1.21
GM3SI1 SIDM 1536 1.18 0.66 1.15
GM3SI1 SIDM 3456 0.17 0.11 1.06
GM3SI1 SIDM 3840 0.06 0.65 1.34
