,model,sfh_time,clump_time,sfr,Nclumps
0,GM3noBHs,5.87,5.87,13.2139538703372,1488
1,GM3noBHs,8.63,8.63,7.582494869471982,507
0,GM2SI1,8.63,8.63,0.3240343328243601,989
1,GM2SI1,8.9,8.9,0.43031124503941387,868
2,GM2SI1,9.55,9.55,0.46082863041219874,575
3,GM2SI1,9.82,9.82,0.6094242342901538,625
4,GM2SI1,10.3,10.3,0.8714505408119891,1053
5,GM2SI1,11.0,11.0,1.313291864927223,2474
6,GM2SI1,11.0,11.0,1.313291864927223,2474
7,GM2SI1,11.27,11.27,1.7022980069406835,2338
8,GM2SI1,11.7,11.7,2.4777303671756736,1830
9,GM2SI1,11.92,11.92,2.5941014219385474,1828
10,GM2SI1,12.19,12.19,1.9379092934527913,2003
11,GM2SI1,12.4,12.4,2.173491884324325,2350
12,GM2SI1,12.45,12.45,2.173491884324325,2483
13,GM2SI1,13.1,13.1,2.475356634983086,2660
0,GM2noBHs,7.34,7.34,7.859642482086464,930
0,GM2,1.74,1.74,0.9821012527818619,553
1,GM2,1.74,1.74,0.9821012527818619,553
2,GM2,7.34,7.34,0.4712813508258874,1475
3,GM2,7.34,7.34,0.4712813508258874,1475
4,GM2,8.61,8.61,0.27358859517568873,872
0,GM1noBHs,9.49,9.49,5.304491677155565,1513
1,GM1noBHs,10.77,10.77,5.902699147156107,390
0,GM1,6.05,6.05,5.292046546936035,3348
1,GM1,6.69,6.69,17.007614135742188,2362
2,GM1,9.49,9.49,4.437613487243652,2146
3,GM1,11.0,11.0,10.742899894714355,818
0,P0noBHs,4.76,4.76,11.808796740705702,1571
1,P0noBHs,4.76,4.76,11.808796740705702,1571
2,P0noBHs,9.49,9.49,9.513302233395436,776
3,P0noBHs,10.77,10.77,6.483758519174971,266
0,P0,10.77,10.77,15.33455753326416,747
