model output time z halo
GM2 3712 12.51 0.10 1
GM2 3584 12.08 0.13 1
GM2 3456 11.65 0.17 1
GM2 3328 11.22 0.21 1
GM2 3200 10.79 0.25 1
GM2 3195 10.77 0.25 1
GM2 3072 10.35 0.29 1
GM2 2944 9.92 0.34 1
GM2 2816 9.49 0.39 1
GM2 2688 9.06 0.44 1
GM2 2560 8.63 0.50 1
GM2 2554 8.61 0.50 1
GM2 2432 8.20 0.56 1
GM2 2304 7.77 0.62 1
GM2 2176 7.34 0.70 1
GM2 2048 6.91 0.77 1
GM2 1920 6.48 0.86 1
GM2 1792 6.05 0.96 1
GM2 1739 5.87 1.00 1
GM2 1664 5.62 1.06 1
GM2 1536 5.19 1.18 1
GM2 1408 4.76 1.32 1
GM2 1280 4.32 1.48 1
GM2 1152 3.89 1.67 1
GM2 1024 3.46 1.90 1
GM2 972 3.29 2.00 1
GM2 896 3.03 2.17 2
GM2 768 2.60 2.52 1
GM2 640 2.17 2.98 1
GM2 635 2.15 3.00 1
GM2 512 1.74 3.61 1
GM2 454 1.55 4.00 2
GM2 384 1.31 4.58 2
GM2 345 1.18 4.99 2
GM2 273 0.94 5.99 2
GM2 256 0.88 6.29 2
GM2 223 0.77 6.98 2
GM2 186 0.64 7.98 2
GM2noBHs 3712 12.51 0.10 1
GM2noBHs 3584 12.08 0.13 1
GM2noBHs 3456 11.65 0.17 1
GM2noBHs 3328 11.22 0.21 1
GM2noBHs 3200 10.79 0.25 1
GM2noBHs 3195 10.77 0.25 1
GM2noBHs 3072 10.35 0.29 1
GM2noBHs 2944 9.92 0.34 1
GM2noBHs 2816 9.49 0.39 1
GM2noBHs 2688 9.06 0.44 1
GM2noBHs 2560 8.63 0.50 1
GM2noBHs 2554 8.61 0.50 1
GM2noBHs 2432 8.20 0.56 1
GM2noBHs 2304 7.77 0.62 1
GM2noBHs 2176 7.34 0.70 1
GM2noBHs 2048 6.91 0.77 1
GM2noBHs 1920 6.48 0.86 1
GM2noBHs 1792 6.05 0.96 1
GM2noBHs 1739 5.87 1.00 1
GM2noBHs 1664 5.62 1.06 1
GM2noBHs 1536 5.19 1.18 1
GM2noBHs 1408 4.76 1.32 1
GM2noBHs 1280 4.32 1.48 1
GM2noBHs 1152 3.89 1.67 1
GM2noBHs 1024 3.46 1.90 1
GM2noBHs 972 3.29 2.00 1
GM2noBHs 896 3.03 2.17 1
GM2noBHs 768 2.60 2.52 2
GM2noBHs 640 2.17 2.98 2
GM2noBHs 635 2.15 3.00 2
GM2noBHs 512 1.74 3.61 2
GM2noBHs 454 1.55 4.00 1
GM2noBHs 384 1.31 4.58 1
GM2noBHs 345 1.18 4.99 1
GM2noBHs 273 0.94 5.99 1
GM2noBHs 256 0.88 6.29 1
GM2noBHs 223 0.77 6.98 1
GM3SI1 3712 12.51 0.10 1
GM3SI1 3584 12.08 0.13 1
GM3SI1 3456 11.65 0.17 1
GM3SI1 3328 11.22 0.21 1
GM3SI1 3200 10.79 0.25 1
GM3SI1 3195 10.77 0.25 1
GM3SI1 3072 10.35 0.29 1
GM3SI1 2944 9.92 0.34 1
GM3SI1 2816 9.49 0.39 1
GM3SI1 2688 9.06 0.44 1
GM3SI1 2560 8.63 0.50 1
GM3SI1 2554 8.61 0.50 1
GM3SI1 2432 8.20 0.56 1
GM3SI1 2304 7.77 0.62 1
GM3SI1 2176 7.34 0.70 1
GM3SI1 2048 6.91 0.77 1
GM3SI1 1920 6.48 0.86 1
GM3SI1 1792 6.05 0.96 1
GM3SI1 1739 5.87 1.00 1
GM3SI1 1664 5.62 1.06 1
GM3SI1 1536 5.19 1.18 1
GM3SI1 1408 4.76 1.32 1
GM3SI1 1280 4.32 1.48 1
GM3SI1 1152 3.89 1.67 1
GM3SI1 1024 3.46 1.90 1
P0 3456 11.65 0.17 1
P0 3195 10.77 0.25 1
P0 3072 10.35 0.29 1
P0 2688 9.06 0.44 1
P0 2554 8.61 0.50 1
P0 2304 7.77 0.62 1
P0 1920 6.48 0.86 1
P0 1739 5.87 1.00 1
P0 1536 5.19 1.18 1
P0 1152 3.89 1.67 1
P0 972 3.29 2.00 1
P0 768 2.60 2.52 2
P0 635 2.15 3.00 2
P0 454 1.55 4.00 2
P0 384 1.31 4.58 2
P0 345 1.18 4.99 1
P0 273 0.94 5.99 1
P0 223 0.77 6.98 1
P0 186 0.64 7.98 1
P0noBHs 3712 12.51 0.10 1
P0noBHs 3584 12.08 0.13 1
P0noBHs 3456 11.65 0.17 1
P0noBHs 3328 11.22 0.21 1
