model linking_length pyfof_grp N clump_mass[Msol] com_x[kpc] com_y[kpc] com_z[kpc] max_r[kpc] clump_r_avg[kpc] r[kpc] avg_temp[K] avg_pressure[Pa] avg_nHden[cm^-3] vdist[km/s] entropy[K/(Msolkpc**3)**(2/3)]
P0 1.00 0 41 8619382.15 -20.75 -17.73 -11.09 3.92 2.02 29.46 14627.90 56277858.34 0.0014224445 38.91 207219279042200867962880.00
P0 1.00 1 3 643474.72 -23.12 -26.15 -13.15 0.17 0.15 37.30 20501.36 25377555.99 0.0000115694 6.02 613474012766568487845888.00
P0 1.00 2 2 424198.10 -24.57 -24.30 -12.52 0.31 0.31 36.75 29178.72 29150843.90 0.0000034215 11.75 1012497563111185526554624.00
P0 1.00 3 7 1374651.80 -19.25 -25.50 -11.50 1.58 0.92 33.95 28258.95 41364022.89 0.0000283744 28.00 764804859726342427508736.00
P0 1.00 4 48 8324059.58 -15.62 -18.41 -6.57 2.81 1.49 25.02 11466.07 93630630.18 0.0183065884 32.16 99951776489555454066688.00
P0 1.00 5 3146 579615227.39 -11.14 -14.62 -2.50 15.46 5.94 18.55 18997.63 679079071.03 0.1092368703 89.89 89592646513156388028416.00
P0 1.00 6 3 642827.29 -36.26 25.29 -24.32 0.61 0.41 50.46 43671.43 25950158.40 0.0000006984 14.15 2145838698915357905649664.00
P0 1.00 7 9 1849194.08 -39.35 24.96 -18.28 1.00 0.64 50.06 18131.12 24895724.29 0.0000229353 19.57 503230520622842745192448.00
P0 1.00 8 4 724806.60 -31.23 22.72 -18.71 0.60 0.41 42.91 17884.84 24337023.01 0.0000218679 16.28 490541514501720578719744.00
P0 1.00 9 4 828490.21 -26.50 20.53 -31.59 0.40 0.22 46.06 62198.40 41347994.52 0.0000001203 6.35 2836699433947135209373696.00
P0 1.00 10 14 2450755.61 -25.86 31.50 -16.07 1.19 0.62 43.81 15151.68 30898369.70 0.0001059014 18.27 320312330413592503386112.00
P0 1.00 11 4 727971.56 -28.97 20.58 -14.21 0.72 0.40 38.28 21770.50 23774440.95 0.0000083567 8.93 701636700771743088771072.00
P0 1.00 12 2 425943.80 -27.46 24.80 -14.79 0.50 0.50 39.85 51708.42 36318171.24 0.0000008752 10.48 2277707548581028691968000.00
P0 1.00 13 11 2318637.65 -19.78 25.73 -13.43 1.29 0.68 35.13 17399.39 28184594.85 0.0000423659 23.62 438438473861805964787712.00
P0 1.00 14 45 8269895.00 -34.53 23.04 -16.50 2.88 1.37 44.67 11698.79 52857354.08 0.0039335042 15.47 158932589336884894760960.00
P0 1.00 15 6 961230.78 -19.42 40.65 -17.20 0.98 0.68 48.22 36448.07 23192929.13 0.0000012021 13.65 1688422607315697267638272.00
P0 1.00 16 10 2035595.96 -25.73 39.85 -16.68 1.00 0.58 50.28 16426.40 27860876.94 0.0000532542 11.85 394554597325973730885632.00
P0 1.00 17 2 400560.12 -36.41 25.97 -14.74 0.49 0.46 47.09 26352.25 17688940.78 0.0000016271 14.81 1176640647833390711570432.00
P0 1.00 18 7 1380025.61 -36.91 28.87 -14.15 0.73 0.41 48.95 19071.62 21654689.34 0.0000108126 5.12 600482948287937353089024.00
