model linking_length pyfof_grp N clump_mass[Msol] com_x[kpc] com_y[kpc] com_z[kpc] max_r[kpc] clump_r_avg[kpc] r[kpc] avg_temp[K] avg_pressure[Pa] avg_nHden[cm^-3] vdist[km/s] entropy[K/(Msolkpc**3)**(2/3)]
P0noBHs 1.00 0 6 1240141.49 -12.80 1.94 10.26 0.25 0.16 16.51 11092.32 54797300.33 0.0119203762 19.20 98114020131607205117952.00
P0noBHs 1.00 1 19 3910002.82 -5.92 0.76 14.97 0.91 0.47 16.11 11584.56 83836423.88 0.0220965550 24.91 77312559226271771394048.00
P0noBHs 1.00 2 5 900789.86 -14.85 0.30 9.74 0.20 0.14 17.77 11986.21 36440683.64 0.0031309492 4.36 168937621053904162652160.00
P0noBHs 1.00 3 2 278357.27 1.22 11.85 10.06 0.55 0.35 15.59 12042.34 60212328.92 0.0125767783 20.94 102433660277406943936512.00
P0noBHs 1.00 4 13 2387514.37 2.48 8.51 13.39 0.52 0.30 16.06 11145.20 113217975.91 0.0365183990 16.16 55025704505817685819392.00
P0noBHs 1.00 5 4 596821.77 3.92 11.27 10.02 0.77 0.39 15.58 11385.63 60132596.47 0.0144020819 24.07 96027139539233977401344.00
P0noBHs 1.00 6 2 424169.44 93.00 108.28 47.91 0.46 0.46 150.56 55721.64 14964514.46 0.0000000915 7.66 4672060718515787854249984.00
P0noBHs 1.00 7 2 424169.44 91.71 109.64 52.39 0.47 0.47 152.24 38610.33 6466032.38 0.0000002287 17.77 4420121040525837681557504.00
P0noBHs 1.00 8 2 366832.56 95.28 101.38 33.01 0.52 0.45 142.99 30471.78 5009870.18 0.0000005414 7.96 3528144163586666768891904.00
P0noBHs 1.00 9 2 424677.07 75.42 105.30 63.89 0.37 0.37 144.42 22041.31 5435133.56 0.0000020742 5.67 1934334424001641583738880.00
P0noBHs 1.00 10 2 434947.35 77.27 119.34 40.94 0.47 0.46 147.95 128706.14 2520353399.82 0.0018905742 28.60 656313021594468041621504.00
P0noBHs 1.00 11 15 3181472.25 148.21 -53.19 21.22 0.63 0.33 158.89 56601.38 10589125.06 0.0000000555 6.25 6034672262339371657592832.00
P0noBHs 1.00 12 3 579636.90 26.01 -20.17 20.25 0.63 0.42 38.65 44069.02 29120372.56 0.0000088155 18.91 1990874644627455823839232.00
P0noBHs 1.00 13 21 4474264.08 -50.58 9.96 92.32 1.34 0.31 105.74 13491.25 12493317.87 0.0000798146 3.80 482812887472530050252800.00
P0noBHs 1.00 14 2 441079.65 -15.25 8.46 -10.77 0.08 0.08 20.50 16497.37 18557383.87 0.0001156148 7.65 512026996969254858784768.00
P0noBHs 1.00 15 2 483739.12 -13.42 4.25 18.81 0.17 0.16 23.50 13130.74 22420590.70 0.0006273234 4.91 296030548881651296894976.00
P0noBHs 1.00 16 2 256346.19 -7.73 3.53 30.30 0.06 0.05 31.47 17421.60 12543096.65 0.0000313327 2.16 735539297859866827161600.00
P0noBHs 1.00 17 13 2255742.84 -7.71 -1.26 21.76 0.67 0.49 23.12 11641.93 41033630.84 0.0052866352 15.49 141452684409162222796800.00
