model output time z halo Nclumps
GM2noBHs 3712 12.51 0.10 1 2493
GM2noBHs 3584 12.08 0.13 1 1901
GM2noBHs 3456 11.65 0.17 1 1349
GM2noBHs 3328 11.22 0.21 1 1448
GM2noBHs 3200 10.79 0.25 1 1783
GM2noBHs 3195 10.77 0.25 1 1832
GM2noBHs 3072 10.35 0.29 1 1307
GM2noBHs 2944 9.92 0.34 1 503
GM2noBHs 2816 9.49 0.39 1 272
GM2noBHs 2688 9.06 0.44 1 413
GM2noBHs 2560 8.63 0.50 1 621
GM2noBHs 2554 8.61 0.50 1 627
GM2noBHs 2432 8.20 0.56 1 497
GM2noBHs 2304 7.77 0.62 1 691
GM2noBHs 2176 7.34 0.70 1 930
GM2noBHs 2048 6.91 0.77 1 640
GM2noBHs 1920 6.48 0.86 1 1042
GM2noBHs 1792 6.05 0.96 1 1682
GM2noBHs 1739 5.87 1.00 1 1962
GM2noBHs 1664 5.62 1.06 1 1948
GM2noBHs 1536 5.19 1.18 1 2708
GM2noBHs 1408 4.76 1.32 1 1569
GM2noBHs 1280 4.32 1.48 1 1338
GM2noBHs 1152 3.89 1.67 1 1084
GM2noBHs 1024 3.46 1.90 1 1840
GM3SI1 3712 12.51 0.10 1 1217
GM3SI1 3584 12.08 0.13 1 346
GM3SI1 3456 11.65 0.17 1 501
GM3SI1 3328 11.22 0.21 1 781
GM3SI1 3200 10.79 0.25 1 732
GM3SI1 3195 10.77 0.25 1 732
GM3SI1 3072 10.35 0.29 1 857
GM3SI1 2944 9.92 0.34 1 777
GM3SI1 2816 9.49 0.39 1 688
GM3SI1 2688 9.06 0.44 1 523
GM3SI1 2560 8.63 0.50 1 647
GM3SI1 2554 8.61 0.50 1 644
GM3SI1 2432 8.20 0.56 1 590
GM3SI1 2304 7.77 0.62 1 659
GM3SI1 2176 7.34 0.70 1 1192
GM3SI1 2048 6.91 0.77 1 1391
GM3SI1 1920 6.48 0.86 1 1437
GM3SI1 1792 6.05 0.96 1 1321
GM3SI1 1739 5.87 1.00 1 1607
GM3SI1 1664 5.62 1.06 1 1705
GM3SI1 1536 5.19 1.18 1 3341
GM3SI1 1408 4.76 1.32 1 2577
GM3SI1 1280 4.32 1.48 1 2280
GM3SI1 1152 3.89 1.67 1 2218
GM3SI1 1024 3.46 1.90 1 2570
P0 3456 11.65 0.17 1 736
P0 3195 10.77 0.25 1 747
P0 3072 10.35 0.29 1 1003
P0 2688 9.06 0.44 1 2487
P0 2554 8.61 0.50 1 2873
P0 2304 7.77 0.62 1 2302
P0 1920 6.48 0.86 1 2900
P0 1739 5.87 1.00 1 3532
P0 1536 5.19 1.18 1 3759
P0 1152 3.89 1.67 1 2081
P0noBHs 3712 12.51 0.10 1 231
P0noBHs 3584 12.08 0.13 1 443
P0noBHs 3456 11.65 0.17 1 425
P0noBHs 3328 11.22 0.21 1 361
P0noBHs 3200 10.79 0.25 1 246
P0noBHs 3195 10.77 0.25 1 266
P0noBHs 3072 10.35 0.29 1 417
P0noBHs 2944 9.92 0.34 1 457
P0noBHs 2816 9.49 0.39 1 776
P0noBHs 2688 9.06 0.44 1 1502
P0noBHs 2560 8.63 0.50 1 1996
P0noBHs 2554 8.61 0.50 1 2026
P0noBHs 2432 8.20 0.56 1 1525
P0noBHs 2304 7.77 0.62 1 1240
P0noBHs 2176 7.34 0.70 1 2263
P0noBHs 2048 6.91 0.77 1 1766
P0noBHs 1920 6.48 0.86 1 1053
P0noBHs 1792 6.05 0.96 1 1640
P0noBHs 1739 5.87 1.00 1 2163
P0noBHs 1664 5.62 1.06 1 1790
P0noBHs 1536 5.19 1.18 1 2275
P0noBHs 1408 4.76 1.32 1 1571
P0noBHs 1280 4.32 1.48 1 2000
P0noBHs 1152 3.89 1.67 1 1282
P0noBHs 1024 3.46 1.90 1 1546
GM1 3776 12.72 0.08 1 550
GM1 3712 12.51 0.10 1 512
GM1 3648 12.29 0.11 1 570
GM1 3584 12.08 0.13 1 592
GM1 3520 11.86 0.15 1 894
GM1 3456 11.65 0.17 1 968
GM1 3392 11.43 0.19 1 1046
GM1 3328 11.22 0.21 1 1020
GM1 3264 11.00 0.23 1 818
GM1 3200 10.79 0.25 1 747
GM1 3136 10.57 0.27 1 1004
GM1 3008 10.14 0.31 1 1710
GM1 2944 9.92 0.34 1 1847
GM1 2880 9.71 0.36 1 1894
GM1 2816 9.49 0.39 1 2146
GM1 2752 9.28 0.41 1 2665
GM1 2688 9.06 0.44 1 3109
GM1 2624 8.85 0.47 1 2490
GM1 2560 8.63 0.50 1 1864
GM1 2554 8.61 0.50 1 1849
GM1 2496 8.42 0.53 1 1837
GM1 2432 8.20 0.56 1 1970
GM1 2368 7.99 0.59 1 2563
GM1 2304 7.77 0.62 1 3315
GM1 2240 7.56 0.66 1 3764
GM1 2176 7.34 0.70 1 3137
GM1 2112 7.12 0.73 1 3116
GM1 2048 6.91 0.77 1 2933
GM1 1984 6.69 0.82 1 2362
GM1 1920 6.48 0.86 1 2529
GM1 1856 6.26 0.91 1 2895
GM1 1792 6.05 0.96 1 3348
GM1 1739 5.87 1.00 1 3625
GM1 1728 5.83 1.01 1 3622
GM1 1664 5.62 1.06 1 3350
GM1 1600 5.40 1.12 1 3555
GM1 1536 5.19 1.18 1 3800
